ticker,questions_asked,answers
apollohosp,"In the previous quarter, you issued both combined pharmacy EBITDA and someone previously asked that it was not quoted as well as we are expecting some ramp-up from the recently added stores. So if you could please tell the combined pharmacy EBITDA?","On the combined pharmacy EBITDA, as I explained to you that last year, we added about 1,000 stores, and it will take about 1 year, you know 12 to 15 months for the breakeven. So those higher number of stores contributing to the losses has impacted, and we will be back in the next 2,3 quarters."
apollohosp,"Firstly, on the occupancy side, the target which we have 70%, can we reach and sustain that 70% for the long period of time?","No that 70% will not require any capex, but this will take us a little time to get to 70%. We're already trending. Probably, we'll reach close to 70%."
apollohosp,"And lastly, in terms of the scalability of your healthcare business, if you hypothetically think of doubling your healthcare revenue from current base, what are the challenges comes to your mind?","I think when we are looking at doubling, yes, we are adding beds to ensure that we have beds to fill. But more importantly, again, it's the fact that we still have, by increasing 20% occupancy, we're actually taking up our revenue by another 40%. So clearly, there is headroom to grow, do have plans. And I think that there is strong traction in the Hospitals division. This quarter should be a very good quarter. And I think you could look at it next quarter."
apollohosp,And then how should we see the EBITDA percentage improving with relation to GMV over the next couple of years?,"I think today, if I look at the margin mix, my margin mix is also steadily going up. It used to be about 6% to 7%, 6.6% of the margin to the revenue in Q1 FY23. It went up to 7%, 9% and 9.7% over the previous quarters. This quarter, it is 10.89%. I think the next 2, 3 years, for sure it is going to be more than (inaudible) %."
asianpaint,"So, you think second half is going to be better as compared to the Q1 weakness?",We think the business would definitely improve because the weakness was coming also because of a little bit of a base which was very high. So definitely there will be an improvement.
asianpaint,"I was just trying to push the bubble by saying that given one does not have a material one time, what we saw almost about 23% margin, that logically one does not see any risk to that continuing and hence there could be possibly an upside risk to your guidance?","You are right as it depends also in terms of if we really look at some changes with respect to pricing in other areas, then possibly it would, come down and might not remain in this level. I mean if there is going forward in H2, we see a larger inflation kind of coming back. But I think we are in a good positive band in terms of what we are looking for the year."
asianpaint,"And in general, how long does it take for the dealer to generate the requisite ROI?","What we also feel is that today, it's a journey in terms of how the retailers start. They might do a certain amount of business in a year and they kind of keep on growing progressively over the next 3-5 years and therefore the drop out of a dealer, from the point of view of year one dealing with us to kind of going to year three, year four is not very high because we look at putting in a tinting mechanism."
asianpaint,"My first question is we have seen the Kitchen and Bath business kind of struggle to scale up immensely. If you could take us through the journey, what have been the challenges? ","When you look at the last three years of journey, first year in Kitchen and Bath, we grew almost about 35%. Second year again, we would have grown at about 30-35%. Last year we grew almost about 10-15%. So last year was a bit slow and this year in the first quarter, we are
seeing to some extent the business slowing down because of the large base."
asianpaint,"When we say NPD contribution, is 11% of sales, how do you define the NPD? Like, what period of launch were these products launched within?","So normally it takes us almost about 1-2 years to kind of launch the product and then sustain it. So, we normally define it as NPD over 3 years. So that's how a new product is defined."
asianpaint,"What do you think in our case, how the price cuts will be implemented and how would the channel react to those price cuts?","So as far as Asian Paints is concerned, I think we don't depend on channel inventories a lot because our channel inventories are to a minimum level because of the fact that we are able to service the retailer at least almost about two times in a day. And therefore, I think we don't really encourage too much loading the retailer in terms of inventories. However, in some months, if there are stocking months and if there is any price corrections, we are willing to give concession to the retailer in terms of a back linkage, which happens on certain stocks."
asianpaint,"But just wanted to understand, because you made some remark, that the premium luxury segment is not to the expectation in the middle and lower end is grown faster. Is this the industry trend
because the local competition has picked up very well","There is no middle and lower end premium and luxury. There are only three segments: economy segment, premium segment and luxury segment. What I said was that the economy and the premium segments are doing well, and the luxury is a little bit down. If you look at the market constraint, the economy segment is the biggest segment which is there, followed by premium and luxury. And therefore, you will have to perform in the economy segment if you are looking at overall volume and value growth in terms of turning the tables."
asianpaint,"The festive demand strength should reflect in the next quarter because the channel gets filled. So, the longer festive period benefit should flow through in the second quarter. Is that understanding correct?","What happens is that retail season is about at least about 45 days before the festival. So, if Diwali is in the first week of November or in the first ten days of November, normally what happens is that the period from 15 September to October end would be a strong retailing season. We feel that the larger impact would come into Q3, but impact should come into Q2 as well because there is a retailing period which gets impacted by the festive area. So, we would see that both quarters show an uptick with respect to the long festive season."
asianpaint,You are happy with 30% growth rate for this Kitchen and Bath business? ,"Happiness is a relative state of mind. I might be happy with tripling business also going forward, but you need to be practical in terms of the way you want to grow and not really strain the system."
asianpaint,"If you look at the Q1 margins, they were pretty strong vs. of a guided range of 18-20%. So, what do you think is the best utilization of margin from here? ","We take a considered view in terms of how the margins are emanating and whether they are stable from a point of view of overall business and environment. We would obviously be aggressive with respect to our ‘Above the line’ and ‘Below the line’ programs. In terms of what we do in marketing and our share of voice in the market, our media spends and our other marketing activities, including, various measures on really exciting the market through various schemes and discounting mechanisms."
axisbank,"Sir, you clarified on the integration expenses. And last time also you had called out a number for integration expenses. And if you add both, then the integration expenses work out to roughly Rs 350 crores to Rs 380 crores per quarter. Is that the run rate we continue to expect in the next few quarters?","Slide 13 of the investor presentation clearly calls out integration expenses for the quarter. It is Rs 385 crores. We have said that we expect to incur integration expenses over a period of 18 months aggregating to Rs 2,000 crores pre-tax, Rs 1,500 crores post-tax. That number stands. You may see some inter-quarter fluctuations, but we stand by the gross number of Rs 2,000 crores. And for the quarter, it is Rs 385 crores."
axisbank,Some banks still have excess liquidity. A lot of banks have not grown deposits this quarter but it intensifies from next quarter. So how do you view your deposit mobilization in the context of your margins from next quarter onwards?,"As far as the growth in deposits is concerned, it continues to be an effort across the banking sector, no doubt about it. But we continue to stay focused on what we have picked up as some of the elements of execution over the last few months, which is primarily focused on sweating the franchise and the distribution."
axisbank,"There's been a little -- the growth has been a little moderate there for a couple of quarters. And is there something in terms of demand that you're seeing, which is leading to this kind of moderation?","So last year, we had started on our improvement of NIM journey. And as part of that, we had taken some initiative to rationalize costs. And one is, now our NIMs are where we want them to be. So we will be growing our home loan book. We've already put in place initiatives to grow that book and that will be visible in Q2, Q3 onwards. Net of home loan, every other product is doing well. Home loan, we have a plan in place to grow the book."
axisbank,"We have seen a good improvement in Tier 1 this quarter despite the rise in RWA to total asset ratio. So what has really driven this, is this one-off or do you think that this is going to steadily improve over the coming quarters?","Our current CET1 stands at 14.38%, well above our philosophical rebase level, well above what we need to protect our domestic AAA rating, sufficient headroom for us to grow at 400 basis points to 600 basis points higher than industry credit that we've indicated we would like to grow at. Therefore, we do not have any plans currently to raise capital for the growth outlook that we have for FY24. "
axisbank,While you have a guidance around cost to asset but how are you looking at the branch expansion over FY '24 to FY '25?,"So on the branch expansion plan, as we have said earlier too, we continue to look at white spaces across the country, both in Bharat and the urban markets. Current financial year, we are looking at around 400 branches incrementally for the year. And we will keep ourselves open for any kind of opportunity which further comes up."
axisbank,"Firstly question was on the outflow rate for the LCR calculation, there was an improvement of 460 bps. And that improvement is being utilized in the lower surplus liquidity, so including the asset yield. So just wanted to understand, what is the longevity like how much more we can improve the deposit profile and use that to improve the overall margin profile? ","As we would see on slide 18 of our presentation, we've called out a June '23 outflow rate of 23.7%. If you look at broadly our peer bank set, we've reached the rates that they have historically operated in and continue to operate in. So the efficiency there would be at the margin because we've seen a significant improvement in the last 24 months. So that lever of NIM improvement is getting optimized and may have limited to no scope of improvement on a go-forward basis."
axisbank,"So recovery numbers, we can understand but the seasonality of this rural slippage number. So can we see this number in any other quarter, Q3 or Q4 or like it will happen just in Q1. So if you can help there?","Typically, rural NPAs is the May-November cycle. So you will see a quarter 1, quarter 3 impact of the rural cycle. The other products typically don't have the seasonality that comes through the rural loan portfolio"
axisbank,"So once the branch -- new branch is open, like how much time it usually takes to reach the desired metrics in terms of loans and deposits?","On an average, we are now looking at the branches becoming fully profitable in the ballpark of couple of years. Obviously, there will be outliers, some of them may come in faster. Some of them may go beyond. But on a broad basis, couple of years is where we look at the customer base kicking in and a granular kind of approach in terms of getting the profitability."
axisbank,"How do you see like passing on the rates to the customers in the retail segment, especially fixed rate book like in personal loans and other products?","Like I said earlier, we've seen an improvement on our yield on advances. We are also seeing improvement in yields on disbursements, which is why we've been able to offset the 31 basis points cost of deposits increase. So that's visible in the numbers that we are reporting. Having said that, the market is competitive. We operate in a competitive market space. And consequently, there will be pulls and pressure on pricing for the customer profile that we would like to have. So, I think it's a market dynamic. We are a large and active participant."
axisbank,"So I just wanted to understand if the P&L trends stay in the NII and fee line, are broadly similar on an accretion basis?","What we also set out in the pro forma disclosure was an ROE number, which was 19%-plus. We do believe that, that number is deliverable post full integration and therefore, the business should be ROE accretive for us. "
bajaj-auto,"And price hikes if you have taken any, after the first quarter?","I can't recall anything which is of a material impact at the moment. We may have done a correction in some states, slightly more to just correct price value equation, but nothing of significant note or material note. At least what I want you to register is given the commodity cost context at the moment, we're not seeing the pressing need for us to take pricing to cover commodity cost inflation, not at this point of time."
bajaj-auto,"And sir, export markets like you have said, you have made several interventions to sort of manage the demand. So, any price corrections did we do?","See, our approach is that we cannot deal with the macroeconomics of currency devaluation through change in FOB pricing. Because that just doesn't work out. So, if there have been any pricing changes, they've been more in response to a competitive situation or an opportunity to improve rather than to the macroeconomic condition. So, we will continue with that approach."
bajaj-auto,"So, you said that we plan to expand from 17 to maybe 50 locations in the next few months. Possible to highlight what percentage of the addressable market is this covering? ","By end of this year, we will be covering almost about 60% of the addressable market through at least one store in the location. "
bajaj-auto,How the ramp-up will happen after that?,"At this point of time, we are making the plans as we go along basis each quarter. So, we've got a line of sight for end of the year. In another 3 months, we'll have a rolling plan which sort of addresses the quarter 1 of next year. "
bajaj-auto,"What I was looking for was more colour on the customer profile, what you're attracting, just to ensure that it's not kind of cannibalizing your existing KTM portfolio or the Dominar portfolio, if you can share some colour on the kind of customers you're getting?","But basis the qualitative inputs which we have received through sample discussions is that this is an absolutely new set of customers. They are not really from the heartland of, let's say, the Pulsar communities, majority of them are coming from the heartland of the 250 to 500cc segment aspirants."
bajaj-auto,"And on the export side, can you just help us understand how big is the addressable market for a product like this? ","This is an absolutely new segment in most of these markets for Triumph and for Triumph dealers, internationally."
bajaj-auto,Will the pricing strategy be led by Bajaj or how does that work?,"On the pricing front, the pricing is led by Triumph in their markets. And of course, there is a consultation, but really the lead person is Triumph like for Indian market, the lead is with us, of course, in consultation by Triumph."
bajaj-auto,"And on pricing, Rakesh, how are they priced compared to the CNG and other alternative fuel vehicles?","It's about INR3 lakh and INR2 lakh kind of a thing. INR3 lakh for the electric passenger and INR2 lakh for the CNG vehicle. This is ESRP post-FAME, so INR3.06 lakh ESRP post-FAME, and RE passenger is INR2.33 lakh."
bajaj-auto,How should one look at profitability going forward for the company?,"But let me say price versus cost seems well balanced out at the moment. And then you got to look at the two other factors, which is essentially operating leverage. So as business builds back, as volumes grow and as revenues start to build back there is an element of operating leverage that will come in. But yes, there could be a potential drag on mix coming in from our stated ambition and aspiration to grow the EV Chetak. And as exports and Boxers start to come back. So, there could be mix headwinds that we will see as we look forward."
bajaj-auto,What is the expected percentage company is looking –for the end of the year?,"I think there's a significant reset that has happened on the FAME subsidy policy, effective 1st of June. We need to wait and see the new normal of this market and as it emerges. Had it not been for this, our internal aspiration would have been to try and get this to a milestone of about 10,000 units of Chetak per month. So anywhere between, let's say, 3% to 4% is what we would like to have seen it by the end of the year, doubling from the current 2%."
bajfinance,"Would we say that ROA that we touched, the highest in the history in this quarter? ","Yes, so one of the things, Bharat bhai, that we've done as part of the Q1, because you don't want to be conservative, we don't want to be ultra-aggressive. For many years, our guidance was a 19% to 21% ROE. When I look at '19, '20, we were delivering 23%, 24% ROE. When I look at '23, I look at 23.5% ROE. When I look at the Q1, the number is 24.5% ROE."
bajfinance,"So going forward, is it more like 30 basis points or thereabouts remaining for the next three quarters and we still stay at 10% plus kind of NIM for the year?","We expect about 10 basis point to 15 basis point compression for at least two quarters and then of course, depending on where the interest rates -- yes, two quarters each, which is Q2 and Q3, and depending on where the environment is for the next two quarter, we can provide further guidance on Q4."
bajfinance,"What exactly do you mean by social and rewards, which is there in the presentation? ","Rewards, principally, when we look at -- the only way you could become a customer and by rewards is to go to times reward. It is not a reward platform. We landed a building rewards for closed loop architecture as a company, as a result of our digital transformation. "
bajfinance,"So out there, let's say, I look at the 1Q FY '23 numbers, those customers who are part of the 60 million, but not part of the 35 million cross-sell franchise, can those customers be part of the 44 million cross- sell franchise today?","So this is -- the model is fixed, right. Customer can go in and come out, but it's very hard. Anybody who goes into 30 million plus, mind you, never it's only possible where a customer defaulted paid money in 15 days can be going in and out. Any customer whoever went into 30 million plus, can never move these -- the filter. I think just at a fundamental level, you should be clear."
bajfinance,Will the rewards of some subvention angle attached to it because there's a full traceability that you are stimulating the customer?,"Independent business units, insta EMI card runs as independent business units from B2B in a way. We originate customers, customers can convert, but will you see things come together in some form and -- in many forms and manner on the app from the consumer? The answer is yes. So it'll be propositions would differ and so on and so forth."
bajfinance,"One is, we have actually doubled or over more than doubled the gold loan branches quarter-on-quarter. Also, going by your Annual Report disclosures, the portfolio is 1.53% overall. So how do you perceive this business going forward?","We -- it's INR3,200 crores odd balance sheet at this point in time. Foresee ending balance sheet could be anywhere between INR5,000 crores to INR5,500 crores. We have doubled. We have doubled down on the business. We have cleared our head on it and it's doing quite well now. And if the first half goes well, we may further accelerate branch expansion. We now have 564 branches."
bajfinance,"Sir, second question is, are we okay disclosing captive versus non-captive portfolio on two-wheeler, three wheeler side or is it a little too early?",Very early.
bajfinance,"As per the Annual Report disclosure, the unsecured portfolio ECL coverage has gone to 75%. It used to be around 77% odd during COVID. Sir, could you provide some color around that?","I was just saying, the number has remained range bound only, right. It's 75%, 77%. So nothing has changed materially. The composition of balance sheet between of Stage 3 between, say, 3 months overdue to 4 months overdue to 5 months overdue require different levels of provisioning, it's because of that. Otherwise, nothing has changed."
bajfinance,"So, what would be the attrition rate at your sales staff, or at the junior management level at Bajaj Finance, and how has it been trending?","So, the approval rates would look closer to '19, '20. We had gone significantly, I think, till I would say October '22 because we are still suffering from pandemic experience since October '22, we started off slowly release. "
bajfinance,"And just quickly one last question from my side, the share of LRD and the DF portfolio is on the rise. Where do you think this stabilizes in the BHFL mix?","Now between LAP and LRD, where we want our portfolio to be in the range of around 22% to 25% roughly is the computed answer there. That is where you see the LAP growth being comparatively lower and the LRD growth comparatively higher because we prefer LRD overlap, but between mix of LRD and LAP, you will see 22% to 25% portfolio mix on a steady state basis."
bhartiartl,So Soumen the SG&A cost for the mobility business are you saying that it could have moderated in the current quarter despite the India SG&A cost rising sequentially is that what you are saying?,"Yes, it would have been almost at same levels sequentially."
bhartiartl,First question is on how do you see the impact of Jio Bharat phone on the feature phone market?,"I would say that it is early days, I think that even when it was launched last time we did see an impact, at that point in time the feature phone market was much larger than what it is today. "
bhartiartl,what do you see a reason to not go for a device like this?,"Because largely these devices are only used for calling and we do not need to get into this device segment that is already there in the form of a feature phone. If we did not have a 2G network then that user would be excluded then we would look at it, but we all have a 2G network, and we have feature phones in the open market, which even today are getting shipped."
bhartiartl,"If you can share your thoughts on 5G monetization, and if you can provide any data on how many users, what kind of usage, what proportion of volumes are on the 5G network now?",It is still early days because the overall installed base is still low it is 14%-15% it is not grown at the rate that we were expecting it to grow. Even today 5G shipments are only about 48% of the total shipments. So it is still moving slowly and it will take time for the full upgradation to happen.
bhartiartl,"Second question is on your rural expansion program, can you give us a progress and how has been the response as you roll out new sites there?","In the rural areas I think we are kind of 60% through our rollout now. This has gone very well actually, the revenue per site the action standards we have set for ourselves we have been able to marginally beat it and the cost per side also is lower than what we thought it would be again."
bhartiartl,"If I may ask on the postpaid, is it possible to split let us say not in this quarter only but last three quarters or four quarters what is the port-in contribution?","We do not provide that information I think so we do not look at it like that because sometimes whether it is supported or whether it is new customer or whether it is a new addition it really does not matter as long as it becomes the primary SIM where a lot of consumption is happening, and they are pleased with the experience."
bhartiartl,"Just continuing on that millimeter side, Reliance Jio has said that they are looking at 4G slicing as a tool which is allowed in the SA, and they want to deploy FWA and they want to accelerate their growth in the fixed broadband and considering that we are on a non-standalone, will that limit our capability to that per year?","No, firstly let me disabuse you of that notion. I think there are two parts to the question, one is FWA itself and the other is slicing. "
bhartiartl,I am keen to understand how you think about your ARPU trajectory going forward. Do you see it more like a steady compounding profile?,"Yes, I think it is a good question, a big increase in ARPU can only happen with a reset of the tariff table"
bhartiartl,"I was just curious on the ARPU. Just if you can give us a bit more color on the medium-term outlook for ARPU Rs 300 obviously is the longer-term plan now it is Rs 200 with all the levels that you have described with postpaid and what you have just said, how should we think of the next few quarters in terms of our ARPU. ","I am afraid, I would not be able to give you a number there, but I think that like I said suffice it to say that we would be disappointed
in ourselves, if we do not see some improvement in ARPU equating for days and all of that on an organic basis every few months.
So I just leave it at that."
bhartiartl,"First on the 5G side, one of your peer has said that they are through with the 65% of the rollout and it appears that in the first stage they will be doing 175000 towers. Where are we in comparison as far as the 5G rollout goes?","I do not have the precise numbers I think Soumen may have the number on the radar capacity upgrade, it is a very substantial increase that happens almost about 5x to 7x but I think Soumen will probably be able to give you a better answer on that."
bpcl,My question relates to BPCL refining margins for the Mumbai Refinery. Why the margins were so low versus Bina and Kochi?,"If you see our Mumbai Refinery configuration, their high sulfur percentage will be lower. They can process low sulfur grades will be on higher quantum and high sulfur grades will be at a lower quantum. Second, even if we see the combination of crude processing in Mumbai Refinery, the Russian crude composition will be lesser in Mumbai Refinery as compared to Kochi Refinery and Bina Refinery."
bpcl,"for the Mumbai Refinery, what would be the total share of the Russian crude sourcing which was done in this quarter?","One is, Mumbai refinery we cannot give exact number in terms of the Russian crude composition. In fact, Russian crude also we have two grades. One is low sulfur as well as high sulfur. But overall directionally compared to other refineries, the Mumbai Refinery cannot process Russian crude much beyond around 20%. Out of 20%, a good amount of crude has been processed in Mumbai Refinery. But compared to other refineries, the Mumbai Refinery can process very significantly lower quantum of Russian crude."
bpcl,"could you please reiterate what was the overall utilization for the petchem project in
this quarter? And how much was the GRM benefit if any?","in terms of PDPP performance, the particular units have been stabilized to a large extent. During the current quarter also, the units have been operated around 70% in physical parameters. And the GRM contribution this quarter, the petchem margins are not comparably high as compared to other previous periods. Roughly, the GRM contribution on account of PDPP will be around $0.4 to $0.5 per barrel this quarter."
bpcl,I wanted the refining inventory loss if you can give it now?,We don't publish the refinery inventory gain and loss.
bpcl,bhartiartl,"It is dual fuel only, but most of these configurations since we have a surplus naphtha available at some of the refineries, we want to take this naphtha to Bina Refinery so that we will get a more value addition. That is the objective. With this background, this project has been envisaged, by using more naphtha from our intermediaries."
bpcl,"Is it possible to give us information about what kind of plant shutdowns you have planned this
year?","I will share it with you. Currently, Bina Refinery is going to shut down for the month of July. Then, we will have some units of Kochi Refinery going for shutdown in the month of August
for 15 days. And then Mumbai Refinery, one of the CDU will go for shutdown at the fag end of September for a month."
bpcl,"It was on the CGD business in terms of the investments you are planning over the next 5 years. You said sixteen of these GAs are in commercial operations. What is the timeline to generate, say 10% to 15% ROCE on this investment? Is there any cash loss on this as of now?","As of now, we have already around 1,607 retail outlets where we have started selling CNG, where we are getting good margins. In terms of the return on investment, we have to wait for the completion of the total project. Then we will come to know what is the total CAPEX we have invested there and then we can work out. As of date, we are not foreseeing any cash losses for this business"
bpcl,"in terms of the Russian crudes usage, if the Russian crude prices cross USD 60 per barrel, would we be able to continue to make payment using the current mechanism or is there a risk that that could reduce the usage of Russian crude in our refineries?","Based on our experience, once the price is crossing beyond the threshold, we have faced a little bit payment issues earlier. Now we have to wait and see for the next cargoes when the payment dues are happening. At least for the time being, we are not foreseeing any problem because now more banks are ready for making the settlements. So, we have to wait and see. As of date, there are no payments which are pending for settlement. We have to wait and see. In case really if there is any purchase price beyond the price cap, see if there are any issues or not."
britannia,"So my first question is on the volume growth, which was flattish. So could you elaborate on what exactly you have done in terms of several pricing initiatives? ","So Abneesh, the fact is that we've not equated prices everywhere. We have taken a very cold call on what is necessary and what is not. Second is that the markets are a little sluggish compared to what we've seen in the past. What we've seen this quarter, and I'm not sure, I think I've heard the same commentary from other FMCG companies as well."
britannia,"So in terms of pricing, it's largely price cuts in select SKUs?","No. So it's basically grammage additions that we've done in certain cases. And in certain cases, we are looking at doing some article promotions and price cuts. So it's a mix of all these."
britannia,"So in dairy, you mentioned captive consumption of SMP, FCMs what does it translate in terms of, say, any savings in terms of cost? ","So what it does is it helps us fulfill our commitments to the farmers. We are collecting a lot of
milk from our farmers. We are processing that, and we are -- whatever is required from the
company's perspective, we are fulfilling that. At this point, there is no cost advantage of doing
that, but there is no cost disadvantage either."
britannia,"On Rusk, your commentary was that not very strong, reasonably strong in terms of growth. And you have been doing innovation very aggressively over the past many quarters. So what is the issue here?","So it's a mix of both. One is the market growth has been a little tepid. And second is that regional competitors, again, similarly to what I told you about biscuits, the same phenomena is happening here as well."
britannia,"First, would it be fair to say that 1Q reflects the entire impact of the rising price-based competition?","Well, I would not say that it's not flattish. If you look at our trajectory for many years, except
for -- so if you look at it, if you look at '21, '22, we were at an average of about 14%, right, on
operating profits. In Q1, we are at 15.6%. So what you are really looking at in the coin periods
of high numbers. So whether it's 2021, and obviously, last year, we were taking price increases
to make sure that we met our targets as far as inflation was concerned. So if you were to look at
-- if you were to draw a line progression line, I think we are moving in the right direction, and I
think that will continue."
britannia,"You had said that we should expect about 2% growth is what you have built-in or you would expect for the next year or this year. Does that need to be revisited, given the recent price cuts that have been done, or it's broadly in line with what you're kind of assuming?","Yes. No. So that 2% will probably not happen this year. It seems that it will be a flattish year
from a price standpoint. Yes. So it's not going to be a 2% increase. And the reason for that is the
commodity prices. And with that, I think we should be in a good place to make sure that we are
able to grow."
britannia,"So how do we explain that without too much pricing, the margins have still come off, and the volumes are also weak?","So in this quarter, we've taken price reversals of about 1.8%. There were fiscal benefits, which
were one-time PLI accrual, which was taken in Q4 last year, which was 2.4%. So price reversals
of 1.8%, fiscal benefits are because they were taken in Q4 and not in Q1. So that's 2.4%. There's
an employee cost increase, which is flattish. And there is a decrease in other expenses, which is
led by advertising spend, which is about 1.2%. So versus Q4, we are negative by 3.3%. So that
is the number that you're looking for, I believe."
